date,Opening price,Highest price,Lowest price,Closing price,Volume(share),Turnover(RMB),Ups and downs,Change(%)
1992-08-28,851.6,866.98,825.01,848.2,7488400,95684000.0,-15.57,-1.8
1992-08-31,833.5,848.4,823.02,823.27,5429600,77675000.0,-24.93,-2.94
1992-09-01,826.96,832.84,807.37,824.96,7869400,87529000.0,1.69,0.21
1992-09-02,803.83,826.68,783.96,787.67,9392400,140242000.0,-37.29,-4.52
1992-09-03,749.22,781.33,742.74,764.11,16373000,206650000.0,-23.56,-2.99
1992-09-04,759.54,776.18,749.46,753.58,9877200,130811000.0,-10.53,-1.38
1992-09-07,745.69,788.15,700.79,702.83,8710500,135455008.0,-50.75,-6.73
1992-09-08,653.36,702.83,595.42,640.12,10063400,130824000.0,-62.71,-8.92
1992-09-09,613.44,643.77,608.06,635.74,11190800,131749000.0,-4.38,-0.68
1992-09-10,643.21,695.18,622.01,692.78,11310900,142572000.0,57.04,8.97
1992-09-11,773.22,789.18,719.39,776.29,11729400,165860000.0,83.51,12.05
1992-09-14,762.82,793.36,714.93,734.98,13727000,195830000.0,-41.31,-5.32
1992-09-15,727.11,751.22,694.32,738.16,11937300,157671008.0,3.18,0.43
1992-09-16,762.29,776.68,738.16,769.04,14392600,203054000.0,30.88,4.18
1992-09-17,770.65,779.56,751.08,761.72,9418100,144744992.0,-7.32,-0.95
1992-09-18,715.89,761.72,715.89,754.4,6170700,81858000.0,-7.32,-0.96
1992-09-21,740.97,760.13,730.3,733.44,8172800,116545000.0,-20.96,-2.78
1992-09-22,730.71,736.9,716.23,722.7,6955200,91083000.0,-10.74,-1.46
1992-09-23,719.41,725.59,708.5,712.37,6559000,82873000.0,-10.33,-1.43
1992-09-24,720.51,735.49,709.63,730.57,7778700,92839000.0,18.2,2.55
1992-09-25,730.28,735.75,723.56,729.79,7653600,76255000.0,-0.78,-0.11
1992-09-28,724.45,729.79,721.19,724.7,4255700,40798000.0,-5.09,-0.7
1992-09-29,719.99,728.42,707.82,710.63,6483000,82381000.0,-14.07,-1.94
1992-09-30,703.63,710.63,698.91,702.32,8977800,96512000.0,-8.31,-1.17
1992-10-05,676.47,702.32,668.9,679.62,9411600,109752000.0,-22.7,-3.23
1992-10-06,682.92,692.62,664.27,674.24,7161300,97525000.0,-5.38,-0.79
1992-10-07,676.56,676.84,664.43,665.26,5383000,60947000.0,-8.98,-1.33
1992-10-08,648.96,671.67,640.22,643.69,8453200,96306000.0,-21.57,-3.24
1992-10-09,664.44,668.73,643.68,660.29,9394700,114917000.0,16.6,2.58
1992-10-12,687.45,713.77,661.99,690.57,11075200,149660000.0,30.28,4.59
1992-10-13,694.1,701.3,669.56,673.99,11223800,158356992.0,-16.58,-2.4
1992-10-14,661.07,673.94,648.84,663.75,10552500,142120992.0,-10.24,-1.52
